TICKER,TRADE_DATE,Type,PE_RATIO,PX_TO_BOOK_RATIO
SOCB,2021-03-22,SOCB,19.2615,2.3393
SOCB,2021-03-23,SOCB,19.0232,2.2896
SOCB,2021-03-24,SOCB,18.8047,2.2084
SOCB,2021-03-25,SOCB,18.8842,2.2136
SOCB,2021-03-26,SOCB,18.8445,2.2057
SOCB,2021-03-29,SOCB,18.9239,2.2293
SOCB,2021-03-30,SOCB,18.8246,2.245
SOCB,2021-03-31,SOCB,16.4027,2.1758
SOCB,2021-04-01,SOCB,16.7661,2.2264
SOCB,2021-04-02,SOCB,16.9218,2.2796
SOCB,2021-04-05,SOCB,17.6485,2.3075
SOCB,2021-04-06,SOCB,17.6312,2.3176
SOCB,2021-04-07,SOCB,17.6312,2.3075
SOCB,2021-04-08,SOCB,17.3025,2.2695
SOCB,2021-04-09,SOCB,16.8699,2.2442
SOCB,2021-04-12,SOCB,17.1121,2.267
SOCB,2021-04-13,SOCB,16.8699,2.2112
SOCB,2021-04-14,SOCB,17.0775,2.229
SOCB,2021-04-15,SOCB,16.8699,2.1808
SOCB,2021-04-16,SOCB,16.6623,2.1277
SOCB,2021-04-19,SOCB,17.0429,2.1783
SOCB,2021-04-20,SOCB,17.8215,2.1884
SOCB,2021-04-22,SOCB,17.8215,2.077
SOCB,2021-04-23,SOCB,17.9946,2.1277
SOCB,2021-04-26,SOCB,17.0602,2.0517
SOCB,2021-04-27,SOCB,17.1294,2.0441
SOCB,2021-04-28,SOCB,17.1294,2.0567
SOCB,2021-04-29,SOCB,17.3025,2.077
SOCB,2021-05-04,SOCB,17.1467,2.0922
SOCB,2021-05-05,SOCB,17.5101,2.1226
SOCB,2021-05-06,SOCB,17.1813,2.0897
SOCB,2021-05-07,SOCB,16.7834,2.0593
SOCB,2021-05-10,SOCB,16.9737,2.0973
SOCB,2021-05-11,SOCB,16.9391,2.1327
SOCB,2021-05-12,SOCB,16.8353,2.1606
SOCB,2021-05-13,SOCB,16.7488,2.158
SOCB,2021-05-14,SOCB,16.7661,2.1454
SOCB,2021-05-17,SOCB,16.6104,2.1175
SOCB,2021-05-18,SOCB,16.3681,2.0719
SOCB,2021-05-19,SOCB,16.2816,2.0719
SOCB,2021-05-20,SOCB,17.1294,2.1201
SOCB,2021-05-21,SOCB,16.7488,2.267
SOCB,2021-05-24,SOCB,16.8526,2.3303
SOCB,2021-05-25,SOCB,17.2679,2.3657
SOCB,2021-05-26,SOCB,17.3717,2.3632
SOCB,2021-05-27,SOCB,17.0775,2.2999
SOCB,2021-05-28,SOCB,17.2333,2.3885
SOCB,2021-05-31,SOCB,17.0602,2.4671
SOCB,2021-06-01,SOCB,17.9427,2.4316
SOCB,2021-06-02,SOCB,18.3406,2.4012
SOCB,2021-06-03,SOCB,18.4617,2.4721
SOCB,2021-06-04,SOCB,18.1503,2.4823
SOCB,2021-06-07,SOCB,17.8215,2.3708
SOCB,2021-06-08,SOCB,17.3025,2.2695
SOCB,2021-06-09,SOCB,17.6485,2.3024
SOCB,2021-06-10,SOCB,17.6139,2.2239
SOCB,2021-06-11,SOCB,17.7869,2.2898
SOCB,2021-06-14,SOCB,17.6485,2.2746
SOCB,2021-06-15,SOCB,17.7869,2.2746
SOCB,2021-06-16,SOCB,17.9946,2.2948
SOCB,2021-06-17,SOCB,18.0292,2.3252
SOCB,2021-06-18,SOCB,18.7732,2.3379
SOCB,2021-06-21,SOCB,18.4444,2.2796
SOCB,2021-06-22,SOCB,18.6175,2.2796
SOCB,2021-06-23,SOCB,18.9808,2.2999
SOCB,2021-06-24,SOCB,19.1538,2.2898
SOCB,2021-06-25,SOCB,19.4826,2.3075
SOCB,2021-06-28,SOCB,19.4826,2.3759
SOCB,2021-06-29,SOCB,19.7248,2.3759
SOCB,2021-06-30,SOCB,19.0859,2.3249
SOCB,2021-07-01,SOCB,19.1061,2.3274
SOCB,2021-07-02,SOCB,19.0051,2.3151
SOCB,2021-07-05,SOCB,18.8436,2.2954
SOCB,2021-07-06,SOCB,17.7731,2.165
SOCB,2021-07-07,SOCB,18.379,2.2388
SOCB,2021-07-08,SOCB,18.5002,2.2536
SOCB,2021-07-09,SOCB,18.1367,2.2093
SOCB,2021-07-12,SOCB,16.9653,2.0666
SOCB,2021-07-13,SOCB,17.1268,2.0863
SOCB,2021-07-14,SOCB,17.2076,2.0961
SOCB,2021-07-15,SOCB,17.248,2.101
SOCB,2021-07-16,SOCB,17.1672,2.0912
SOCB,2021-07-19,SOCB,16.016,1.951
SOCB,2021-07-20,SOCB,16.5613,2.0174
SOCB,2021-07-21,SOCB,16.4402,2.0026
SOCB,2021-07-22,SOCB,16.5613,2.0174
SOCB,2021-07-23,SOCB,16.2382,1.978
SOCB,2021-07-26,SOCB,16.1574,1.9682
SOCB,2021-07-27,SOCB,16.2382,1.978
SOCB,2021-07-28,SOCB,16.3594,1.9928
SOCB,2021-07-29,SOCB,16.5613,2.0174
SOCB,2021-07-30,SOCB,16.6017,2.0223
SOCB,2021-08-02,SOCB,17.1874,2.0937
SOCB,2021-08-03,SOCB,17.5106,2.133
SOCB,2021-08-04,SOCB,17.3692,2.1158
SOCB,2021-08-05,SOCB,17.349,2.1133
SOCB,2021-08-06,SOCB,17.3288,2.1109
SOCB,2021-08-09,SOCB,17.4298,2.1232
SOCB,2021-08-10,SOCB,17.4904,2.1306
SOCB,2021-08-11,SOCB,17.4096,2.1207
SOCB,2021-08-12,SOCB,17.2884,2.106
SOCB,2021-08-13,SOCB,17.1874,2.0937
SOCB,2021-08-16,SOCB,17.4904,2.1306
SOCB,2021-08-17,SOCB,17.349,2.1133
SOCB,2021-08-18,SOCB,17.2278,2.0986
SOCB,2021-08-19,SOCB,17.1672,2.0912
